ID,Sex,Age,Address,Family_size,Parent_cohabitation_status,Mother_education_level ,Father_education_level,Mother_job,Father_job,Guardian,Traveltime,Studytime,Failures,School_support,Family_support,Parent_aid,Activities,Nursery_attend,Access_internet,In_Romantic_relationship,Family_relative,Freetime,Goout,Health,Absences,State,Race,Math_score,Reading_score,Writing_score,Attendance_rate,Suspensions,Expulsions,Teacher_support,Counseling,Social_worker_visits,Parental_involvement
ID-1887,Male,17,Rural,greater than 3,Apart,higher education,none,at_home,health,other,1,1,4,yes,no,no,no,no,yes,no,1,4,2,fair,74,California,Other,18,12,83,72.34,2,1,yes,yes,1,low
ID-1481,Male,17,Rural,greater than 3,Apart,higher education,none,health,health,other,3,3,3,yes,no,yes,no,yes,no,yes,5,4,5,excellent,20,Texas,White,90,63,63,75.07,2,1,yes,yes,2,medium
ID-701,Male,16,Rural,greater than 3,Together,higher education,primary (4th grade),teacher,at_home,mother,1,3,2,yes,no,no,yes,no,yes,no,1,1,5,excellent,11,Florida,Asian,87,34,65,78.02,2,0,yes,yes,0,high
ID-250,Male,16,Rural,greater than 3,Apart,secondary,higher education,other,teacher,mother,1,4,3,yes,no,no,yes,no,no,no,1,5,5,excellent,49,Texas,White,42,97,69,77.3,0,1,no,yes,3,low
ID-3496,Male,19,Rural,greater than 3,Apart,primary (5th-9th grade),primary (4th grade),teacher,teacher,other,2,3,4,no,yes,no,yes,no,no,no,2,5,2,good,13,Florida,Asian,64,77,90,85.4,1,0,no,yes,4,medium
ID-518,Male,18,Rural,greater than 3,Together,secondary,secondary,at_home,teacher,mother,2,2,4,yes,no,no,no,yes,no,no,3,2,3,excellent,19,Texas,White,26,34,47,96.94,0,0,no,yes,2,medium
ID-882,Male,16,Rural,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),teacher,at_home,mother,1,4,1,yes,no,no,no,no,no,yes,1,3,4,excellent,37,California,Asian,7,100,17,80.7,0,1,yes,yes,4,medium
ID-4572,Male,15,Rural,greater than 3,Together,higher education,none,teacher,other,other,2,2,1,yes,no,no,no,yes,no,yes,4,1,1,poor,23,California,Hispanic,53,25,19,72.53,3,0,yes,no,2,medium
ID-1335,Male,17,Rural,greater than 3,Apart,higher education,higher education,health,services,mother,3,1,1,yes,no,yes,yes,yes,yes,no,3,5,4,excellent,65,Florida,Hispanic,80,43,72,94.6,2,1,no,yes,3,low
ID-3235,Male,15,Rural,greater than 3,Together,higher education,higher education,services,services,other,4,4,3,no,no,yes,yes,yes,yes,yes,4,5,4,good,79,Florida,African American,27,6,66,70.48,0,1,yes,no,4,high
ID-2665,Male,17,Rural,greater than 3,Together,none,primary (5th-9th grade),services,at_home,mother,1,2,1,yes,yes,yes,no,no,no,no,1,5,2,fair,79,California,Asian,43,99,39,85.47,2,1,no,yes,4,medium
ID-2417,Male,17,Rural,greater than 3,Apart,higher education,none,other,services,father,4,2,1,yes,no,no,yes,yes,yes,no,4,5,4,excellent,50,California,White,90,38,17,94.27,0,1,no,yes,1,low
ID-1485,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),secondary,other,at_home,father,3,4,4,yes,yes,yes,yes,no,no,yes,4,4,2,good,93,Florida,Asian,96,84,11,86.99,0,0,yes,no,2,low
ID-894,Male,16,Rural,greater than 3,Together,secondary,secondary,health,services,mother,4,4,2,no,no,no,no,yes,yes,no,2,5,3,poor,22,Texas,White,23,78,82,97.9,1,1,yes,yes,3,low
ID-2511,Male,15,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),services,services,mother,1,1,1,yes,no,yes,no,yes,no,no,3,2,4,poor,3,California,African American,64,12,25,70.9,2,0,no,no,1,high
ID-3342,Male,17,Rural,greater than 3,Apart,higher education,higher education,teacher,other,father,3,1,1,no,no,yes,yes,no,yes,no,2,3,2,fair,88,Florida,Asian,7,83,96,98.25,0,1,yes,yes,1,high
ID-3402,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),primary (4th grade),other,at_home,other,3,3,2,yes,yes,no,no,yes,yes,no,2,2,4,fair,62,California,African American,1,97,32,92.49,3,0,yes,no,0,high
ID-3720,Male,18,Rural,greater than 3,Apart,primary (5th-9th grade),none,at_home,health,other,3,3,4,no,yes,no,no,no,no,no,4,5,1,excellent,70,Florida,White,17,89,5,79.83,0,0,yes,no,3,high
ID-2118,Male,15,Rural,greater than 3,Apart,primary (5th-9th grade),primary (5th-9th grade),other,health,mother,4,3,1,yes,yes,no,no,yes,no,yes,4,2,2,excellent,48,Florida,Other,78,3,57,88.83,1,1,yes,yes,0,high
ID-780,Male,19,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),health,at_home,mother,4,4,1,yes,yes,yes,yes,no,yes,yes,4,2,5,excellent,20,Florida,White,60,97,56,86.86,2,0,no,yes,2,medium
ID-662,Male,15,Rural,greater than 3,Together,higher education,primary (4th grade),health,at_home,mother,4,1,1,no,no,no,no,no,yes,no,3,3,3,fair,39,Florida,African American,41,83,8,97.31,0,0,no,yes,1,high
ID-1268,Male,19,Rural,greater than 3,Together,none,none,services,health,other,4,1,4,no,yes,no,yes,no,no,yes,5,1,4,peak,7,Texas,Asian,39,18,9,82.38,3,1,yes,no,3,medium
ID-800,Male,19,Rural,greater than 3,Apart,primary (5th-9th grade),none,health,other,other,4,1,1,no,no,no,yes,yes,yes,no,2,2,2,poor,1,Florida,Asian,3,100,43,72.98,3,1,no,yes,4,medium
ID-2193,Male,19,Rural,greater than 3,Apart,secondary,primary (5th-9th grade),at_home,other,other,4,2,4,yes,yes,no,yes,yes,yes,no,1,5,5,excellent,19,California,African American,63,30,52,72.06,2,1,no,no,1,low
ID-3135,Male,18,Rural,greater than 3,Apart,primary (4th grade),primary (4th grade),health,health,mother,1,4,2,no,yes,no,no,no,yes,yes,2,1,3,fair,76,Texas,Asian,38,82,26,82.41,0,0,yes,no,3,medium
ID-4427,Male,15,Rural,greater than 3,Together,none,none,other,services,father,2,1,4,yes,yes,no,yes,no,yes,yes,4,3,4,excellent,66,Texas,Hispanic,78,42,80,99.57,3,0,yes,yes,1,medium
ID-574,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),secondary,teacher,health,father,3,1,4,yes,no,no,yes,no,no,no,3,2,3,good,55,Florida,Other,89,63,51,88.57,2,0,yes,no,2,high
ID-74,Male,18,Rural,greater than 3,Together,none,secondary,at_home,services,other,2,1,3,yes,yes,yes,yes,yes,no,no,5,2,4,good,58,Florida,African American,76,1,83,92.25,3,0,yes,no,3,high
ID-3711,Male,17,Rural,greater than 3,Apart,primary (5th-9th grade),primary (5th-9th grade),services,at_home,father,2,3,1,yes,yes,no,no,no,no,yes,1,5,2,peak,65,Florida,Other,9,89,63,98.88,2,1,no,no,2,high
ID-634,Male,16,Rural,greater than 3,Apart,higher education,primary (4th grade),services,health,mother,2,2,2,yes,no,no,yes,no,yes,yes,3,5,1,good,13,Florida,African American,100,21,53,89.89,3,1,no,no,3,high
ID-1511,Male,15,Rural,greater than 3,Together,higher education,none,other,other,other,2,2,1,no,yes,yes,yes,yes,yes,no,2,4,3,good,71,California,Other,33,80,12,88.06,3,1,no,yes,2,high
ID-2684,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),primary (4th grade),other,other,father,4,1,1,no,yes,no,yes,no,no,yes,4,2,4,poor,29,Florida,White,90,87,30,75.65,3,0,no,no,0,medium
ID-1211,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),higher education,services,health,father,2,2,4,no,no,yes,no,yes,yes,yes,4,5,5,poor,73,California,African American,26,75,80,78.69,0,1,yes,yes,3,low
ID-1467,Male,17,Rural,greater than 3,Together,secondary,secondary,teacher,health,mother,3,2,4,no,yes,yes,yes,yes,yes,yes,2,2,2,good,17,Texas,Asian,44,21,48,96.4,1,0,yes,yes,2,high
ID-245,Male,17,Rural,greater than 3,Apart,primary (5th-9th grade),primary (5th-9th grade),at_home,teacher,other,4,3,1,no,yes,yes,yes,no,no,no,1,3,2,fair,93,Florida,Other,87,83,74,85.23,0,1,yes,no,3,high
ID-4818,Male,17,Rural,greater than 3,Apart,higher education,none,teacher,at_home,other,2,3,4,yes,no,no,no,yes,yes,yes,2,5,4,peak,46,California,White,94,66,26,95.91,1,1,yes,yes,4,high
ID-3491,Male,18,Rural,greater than 3,Together,higher education,secondary,at_home,health,other,3,2,1,no,yes,no,no,no,yes,no,1,2,2,peak,44,Texas,White,9,14,12,70.47,1,0,no,no,4,medium
ID-2563,Male,19,Rural,greater than 3,Together,primary (5th-9th grade),secondary,other,health,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,1,1,2,good,0,Florida,White,76,42,45,85.18,0,1,yes,yes,2,medium
ID-2947,Male,19,Rural,greater than 3,Together,higher education,primary (5th-9th grade),at_home,other,mother,1,2,4,yes,no,yes,no,yes,yes,no,2,4,4,poor,35,Texas,Asian,82,13,50,79.46,0,0,yes,yes,4,low
ID-2471,Male,16,Rural,greater than 3,Apart,primary (4th grade),none,other,health,other,2,3,2,no,yes,yes,no,no,no,yes,5,1,2,peak,62,Florida,White,36,73,42,78.41,3,0,no,yes,2,high
ID-1881,Male,19,Rural,greater than 3,Apart,higher education,primary (4th grade),services,services,other,1,2,1,yes,no,yes,no,yes,yes,yes,5,5,1,peak,88,Florida,Other,2,19,99,95.83,1,1,yes,yes,4,medium
ID-3273,Male,19,Rural,greater than 3,Apart,primary (4th grade),none,health,at_home,mother,3,4,4,yes,no,yes,no,yes,no,yes,4,4,2,peak,48,Florida,Asian,14,22,78,95.15,0,1,no,no,1,high
ID-4039,Male,17,Rural,greater than 3,Apart,primary (4th grade),primary (4th grade),other,other,father,1,1,1,yes,no,yes,yes,no,no,no,4,2,4,excellent,18,Texas,African American,61,53,85,96.88,0,1,no,yes,1,medium
ID-2351,Male,17,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),other,at_home,other,4,4,2,yes,no,no,yes,yes,yes,yes,2,5,5,excellent,59,California,Asian,8,72,88,82.88,1,0,no,no,3,medium
ID-498,Male,16,Rural,greater than 3,Apart,secondary,secondary,services,other,father,4,4,2,no,no,yes,yes,yes,yes,no,2,2,2,poor,24,Florida,African American,66,61,18,98.85,0,0,no,yes,2,high
ID-2175,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),none,services,other,father,4,1,2,yes,yes,no,yes,no,no,yes,1,1,4,fair,26,Texas,African American,3,61,28,79.62,3,0,no,no,4,medium
ID-3631,Male,16,Rural,greater than 3,Together,secondary,secondary,other,other,mother,2,4,4,yes,yes,no,yes,no,no,no,2,3,5,good,55,Florida,African American,28,63,86,99.67,0,0,no,yes,3,high
ID-2021,Male,16,Rural,greater than 3,Together,secondary,primary (5th-9th grade),teacher,other,mother,2,1,4,no,no,no,no,no,yes,no,5,3,2,excellent,81,Florida,African American,28,73,82,92.71,2,0,no,no,1,low
ID-1492,Male,18,Rural,greater than 3,Apart,secondary,none,at_home,services,father,3,1,1,no,no,yes,no,yes,no,no,1,1,3,good,10,California,Asian,30,52,66,89.63,1,0,yes,no,1,high
ID-2375,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),primary (4th grade),services,other,father,3,1,3,yes,yes,no,yes,no,yes,yes,3,2,5,fair,28,Florida,Hispanic,59,60,18,96.73,2,1,no,no,2,high
ID-3728,Male,16,Rural,greater than 3,Apart,none,none,other,health,other,4,3,2,no,no,yes,yes,yes,no,yes,2,3,1,good,88,Texas,Hispanic,21,52,12,88.95,2,0,no,no,1,low
ID-1166,Male,16,Rural,greater than 3,Apart,none,none,other,other,father,4,1,1,yes,no,no,yes,yes,no,no,3,4,2,good,86,California,White,81,2,96,82.6,0,0,no,yes,3,low
ID-1836,Male,16,Rural,greater than 3,Together,none,primary (5th-9th grade),health,services,father,4,1,1,yes,no,no,yes,no,no,yes,1,1,3,good,55,Florida,Other,65,11,87,80.84,3,1,yes,no,3,high
ID-62,Male,19,Rural,greater than 3,Together,secondary,none,teacher,health,father,4,2,1,yes,yes,no,no,yes,yes,no,5,4,4,poor,73,California,Other,43,19,37,74.22,1,1,no,yes,3,medium
ID-3408,Male,18,Rural,greater than 3,Apart,primary (5th-9th grade),higher education,teacher,teacher,father,1,1,1,yes,no,no,no,no,yes,yes,5,5,2,fair,5,Texas,Other,34,24,34,84.42,1,0,no,yes,0,high
ID-1877,Male,16,Rural,greater than 3,Apart,none,higher education,at_home,health,mother,4,1,4,yes,no,yes,yes,no,yes,yes,3,1,2,peak,44,Florida,White,11,88,32,93.69,0,0,no,no,2,low
ID-3108,Male,17,Rural,greater than 3,Apart,primary (4th grade),higher education,teacher,teacher,father,3,1,2,yes,no,no,yes,no,no,yes,2,5,2,fair,22,Florida,Other,21,27,44,74.13,2,1,yes,yes,1,high
ID-3110,Male,17,Rural,greater than 3,Together,secondary,none,health,services,father,3,3,3,no,yes,yes,no,no,no,no,4,1,5,good,27,California,Asian,89,15,56,97.82,1,1,yes,yes,0,low
ID-390,Male,19,Rural,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),services,services,mother,2,4,4,no,yes,yes,yes,no,yes,no,2,1,2,peak,46,California,Hispanic,88,50,48,76.61,2,0,yes,yes,3,medium
ID-654,Male,19,Rural,greater than 3,Apart,secondary,secondary,at_home,health,father,1,2,2,no,yes,no,no,no,yes,no,5,2,3,fair,91,Texas,African American,31,39,65,98.82,0,1,no,no,2,high
ID-3912,Male,15,Rural,greater than 3,Apart,secondary,primary (5th-9th grade),services,teacher,other,2,1,4,no,yes,yes,yes,no,yes,yes,5,5,4,excellent,73,Texas,Other,8,20,82,83.7,3,0,yes,yes,0,medium
ID-4343,Male,15,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),at_home,teacher,mother,2,4,4,yes,yes,no,no,yes,yes,yes,3,5,5,excellent,46,Florida,White,63,70,38,74.16,0,0,yes,no,1,low
ID-3490,Male,15,Rural,greater than 3,Together,secondary,primary (4th grade),teacher,at_home,father,4,3,3,no,yes,no,yes,no,no,no,2,5,4,peak,19,California,White,58,75,46,73.36,2,1,no,yes,1,high
ID-4172,Male,19,Rural,greater than 3,Apart,none,primary (4th grade),teacher,services,other,3,4,4,yes,yes,yes,yes,no,yes,yes,2,1,1,good,12,Texas,Asian,73,98,32,89.87,2,1,yes,yes,4,low
ID-2595,Male,19,Rural,greater than 3,Apart,higher education,primary (5th-9th grade),teacher,health,father,4,3,1,yes,no,yes,yes,no,no,no,4,2,5,excellent,81,California,African American,63,81,90,94.33,1,1,no,no,2,low
ID-1901,Male,19,Rural,greater than 3,Together,none,primary (5th-9th grade),services,at_home,father,1,3,4,yes,no,no,yes,yes,yes,yes,3,2,1,fair,87,Texas,African American,98,81,49,71.72,1,0,yes,yes,4,high
ID-4391,Male,17,Rural,greater than 3,Together,higher education,primary (4th grade),health,services,father,2,2,1,no,no,no,no,no,yes,yes,1,2,1,poor,29,Texas,White,47,10,65,97.47,0,0,no,no,3,medium
ID-688,Male,19,Rural,greater than 3,Together,primary (5th-9th grade),primary (5th-9th grade),other,health,mother,2,2,2,yes,yes,no,no,no,yes,no,1,3,3,fair,15,Texas,Other,52,31,32,71.16,2,1,no,yes,1,high
ID-2755,Male,17,Rural,greater than 3,Together,primary (4th grade),primary (4th grade),teacher,other,other,3,2,1,yes,yes,yes,yes,no,no,yes,3,1,3,excellent,59,Texas,Asian,31,96,48,86.35,2,1,no,no,3,low
ID-3918,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),primary (4th grade),health,services,mother,1,1,4,no,no,yes,no,no,yes,no,2,5,2,fair,10,Florida,Asian,53,46,70,85.47,0,0,no,yes,4,high
ID-2453,Male,15,Rural,greater than 3,Apart,higher education,primary (4th grade),teacher,services,mother,2,3,4,yes,yes,yes,no,yes,yes,yes,5,5,4,good,27,Texas,African American,40,44,9,94.17,2,1,yes,no,1,low
ID-4574,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),none,health,services,other,3,1,4,yes,yes,yes,yes,yes,yes,yes,4,5,3,poor,32,Florida,Asian,66,96,27,87.46,2,1,yes,no,2,high
ID-2213,Male,16,Rural,greater than 3,Together,higher education,primary (4th grade),other,teacher,other,3,3,2,no,yes,no,no,yes,yes,yes,3,5,2,peak,87,California,Hispanic,54,78,88,80.11,3,0,no,yes,0,medium
ID-213,Male,16,Rural,greater than 3,Apart,higher education,primary (4th grade),at_home,services,other,4,4,4,no,no,no,no,yes,yes,yes,4,5,5,peak,50,Florida,African American,93,17,94,87.41,3,1,no,no,3,high
ID-1878,Male,18,Rural,greater than 3,Apart,none,primary (4th grade),other,teacher,other,2,3,4,yes,yes,no,yes,no,no,yes,5,4,5,excellent,0,Florida,White,34,85,43,98.54,2,1,no,no,3,medium
ID-1573,Male,18,Rural,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),at_home,health,father,4,4,4,no,no,no,no,yes,yes,yes,1,1,5,peak,87,Florida,Asian,57,5,12,73.68,0,1,yes,yes,1,medium
ID-4798,Male,18,Rural,greater than 3,Together,primary (4th grade),secondary,at_home,teacher,father,4,1,4,no,yes,no,yes,no,no,no,4,2,5,fair,63,Texas,African American,68,58,94,89.7,2,1,no,yes,1,high
ID-1229,Male,16,Rural,greater than 3,Apart,higher education,secondary,at_home,teacher,father,1,4,4,no,no,yes,no,no,yes,yes,4,3,1,poor,78,Texas,Other,93,85,28,75.04,1,1,yes,yes,4,low
ID-4995,Male,16,Rural,greater than 3,Apart,higher education,higher education,at_home,other,other,4,1,1,yes,yes,yes,no,no,no,no,1,4,3,poor,4,Texas,Other,0,5,39,76.14,1,1,yes,yes,3,medium
ID-3205,Male,18,Rural,greater than 3,Together,higher education,higher education,at_home,health,other,4,4,2,yes,no,yes,no,yes,yes,yes,4,5,1,good,4,Florida,Hispanic,8,14,8,99.18,0,1,no,no,3,medium
ID-1244,Male,18,Rural,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),services,teacher,father,1,3,1,no,yes,yes,no,yes,yes,yes,2,5,2,good,56,Florida,White,48,93,94,94.78,0,0,yes,no,3,high
ID-1627,Male,19,Rural,greater than 3,Together,higher education,secondary,at_home,services,mother,4,3,2,yes,yes,yes,no,no,yes,no,1,5,2,fair,74,Florida,Other,67,60,28,97.33,3,0,no,yes,0,medium
ID-4303,Male,18,Rural,greater than 3,Together,secondary,primary (4th grade),services,teacher,other,1,1,3,yes,no,no,no,yes,no,yes,4,4,5,poor,90,Texas,African American,45,29,3,74.56,1,0,yes,yes,3,low
ID-1566,Male,19,Rural,greater than 3,Apart,primary (4th grade),secondary,teacher,other,other,3,2,2,yes,yes,no,yes,no,yes,no,5,5,1,good,18,Texas,Asian,83,45,80,82.39,2,1,yes,no,4,medium
ID-1976,Male,17,Rural,greater than 3,Apart,primary (5th-9th grade),primary (5th-9th grade),services,other,mother,2,3,1,no,yes,no,no,no,no,no,4,5,3,poor,40,Florida,Other,87,95,80,93.01,2,0,yes,yes,3,low
ID-2222,Male,16,Rural,greater than 3,Apart,none,primary (4th grade),other,health,mother,4,1,1,yes,no,yes,yes,yes,no,yes,1,4,3,good,90,California,Other,36,83,18,89.45,0,0,no,no,4,high
ID-3494,Male,18,Rural,greater than 3,Together,higher education,none,other,teacher,other,4,4,1,yes,yes,yes,yes,yes,yes,yes,4,1,1,peak,36,Florida,Hispanic,76,16,47,74.53,2,0,no,yes,1,high
ID-1186,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),secondary,other,health,other,4,4,4,no,yes,yes,yes,yes,yes,no,4,4,2,fair,64,Texas,Asian,76,92,66,83.17,1,1,yes,yes,4,medium
ID-2103,Male,16,Rural,greater than 3,Together,primary (5th-9th grade),none,other,at_home,other,4,3,2,no,no,no,yes,no,no,yes,5,3,1,peak,49,California,Asian,18,74,96,77.28,2,1,no,yes,3,medium
ID-4846,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),higher education,other,other,other,2,2,4,no,yes,yes,no,no,yes,yes,1,4,3,fair,64,Florida,Other,80,83,100,80.14,3,0,yes,yes,2,medium
ID-4631,Male,17,Rural,greater than 3,Apart,secondary,primary (5th-9th grade),other,other,mother,2,1,1,yes,yes,no,yes,yes,no,no,4,3,1,excellent,70,Texas,Asian,19,83,41,97.39,2,1,no,no,1,high
ID-2509,Male,15,Rural,greater than 3,Apart,higher education,none,services,other,other,2,3,1,yes,no,no,yes,yes,no,no,2,4,1,peak,41,California,White,38,7,81,77.39,1,0,no,yes,0,high
ID-2344,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),primary (4th grade),other,other,other,2,1,1,no,yes,yes,no,yes,yes,no,1,5,2,excellent,72,Texas,White,14,49,84,81.28,0,0,yes,no,0,low
ID-4453,Male,15,Rural,greater than 3,Together,none,secondary,at_home,at_home,father,4,1,2,no,yes,no,yes,no,yes,yes,4,1,3,peak,6,Texas,Other,96,16,57,85.53,3,1,no,no,2,low
ID-4279,Male,15,Rural,greater than 3,Apart,primary (4th grade),primary (4th grade),other,health,father,3,4,4,no,yes,yes,yes,yes,no,yes,3,3,2,peak,82,Florida,Other,92,56,87,72.13,3,1,yes,yes,2,medium
ID-3693,Male,15,Rural,greater than 3,Apart,higher education,primary (5th-9th grade),services,other,mother,3,2,4,yes,no,yes,no,yes,no,no,3,4,1,poor,38,Florida,White,71,57,58,96.66,3,0,no,yes,1,high
ID-461,Male,16,Rural,greater than 3,Apart,primary (4th grade),secondary,health,services,father,1,3,4,no,no,yes,no,yes,no,no,1,3,5,fair,15,Florida,Asian,20,75,15,83.93,2,0,no,no,3,medium
ID-1312,Male,19,Rural,greater than 3,Together,none,primary (4th grade),other,health,other,3,2,2,no,yes,no,yes,yes,yes,yes,1,3,5,peak,56,California,Hispanic,53,95,94,80.81,2,1,no,yes,1,high
ID-3568,Male,16,Rural,greater than 3,Apart,higher education,secondary,services,health,father,4,1,4,yes,yes,yes,yes,no,yes,no,3,1,4,fair,17,Texas,Hispanic,9,85,59,84.33,2,1,no,yes,0,medium
ID-3244,Male,16,Rural,greater than 3,Together,secondary,primary (5th-9th grade),at_home,other,other,4,2,3,yes,yes,yes,no,yes,yes,no,4,5,4,excellent,70,Florida,Hispanic,48,26,66,90.25,3,0,no,no,1,high
ID-3583,Male,15,Rural,greater than 3,Apart,higher education,secondary,health,teacher,mother,4,1,4,yes,no,no,no,yes,no,no,1,4,2,poor,86,Florida,Asian,0,57,16,88.34,2,1,yes,yes,3,low
ID-2160,Male,16,Rural,greater than 3,Together,higher education,primary (5th-9th grade),health,services,father,2,2,1,no,no,yes,yes,yes,yes,no,2,5,3,peak,33,Texas,Hispanic,31,100,63,87.32,3,0,yes,no,3,medium
ID-2859,Male,15,Rural,greater than 3,Together,higher education,primary (4th grade),at_home,teacher,father,3,1,1,no,no,yes,no,yes,yes,no,4,4,2,excellent,18,Florida,White,87,50,32,79.15,3,1,no,no,0,low
ID-4019,Male,19,Rural,greater than 3,Together,secondary,higher education,at_home,health,mother,1,4,1,no,yes,yes,yes,no,no,no,5,2,4,poor,11,California,Asian,13,46,70,83.04,2,0,no,yes,4,medium
ID-428,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),secondary,at_home,at_home,other,2,2,4,yes,no,yes,yes,yes,yes,yes,3,4,5,peak,77,Texas,White,27,56,21,90.92,0,0,no,no,0,medium
